6,30,90,270,400,500,50,50,50

10,30,90,160,250,50,50,30
4,20,60,180,320,450,50,50,30
50,100
20,100,300,750,925,1100,150,150,120
50 100
18,90,250,700,875,1050,150,150,110
18,90,250,700,875,1050,150,150,110

16,80,220,600,800,1000,100,100,100

14,70,200,550,750,950,100,100,100
14,70,200,550,750,950,100,100,90
40,75

35,175,500,1100,1300,1500,200,200,175

50,200,600,1400,1700,2000,200,200,200

8,40,100,300,450,600,50,50,60

6,30,90,270,400,500,50,50,50

40,75
12,60,180,500,700,900,100,100,80

10,50,150,450,625,750,100,100,70
10,50,150,450,625,750,100,100,70

22,110,330,800,975,1150,150,150,130
50,100
28,150,450,1000,1200,1400,200,200,160
26,130,390,900,1100,1275,200,200,150
50,100
26,130,390,900,1100,1275,200,200,150

24,120,360,850,1025,1200,150,150,140
22,110,330,800,975,1150,150,150,130
